Tab 4 Code,1,2,2,2,2,5,5,5,5,5,4,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.00,3.807343,3.3244439,8.2916691,5.1366302,0.92300337,-0.88311673,0.58592987,-5.5021254,-10.133443,-2.8829834,16.734766,12.628261,-0.16984623,4.3058894,-2.0780867,9.7980589,2.3056726,2.8175193,2.2734838,5.1789112,12.542526,2.501406,-1.6381866,1.7180745,4.8337668,5.662521,4.424364,-10.51305,54.166667,78.337467,1.6507893,-0.70349639,-14.257687,2.5068202,-0.94276519,-1.5511233,0.039438008,2.3877064,1.0688525,-0.69436722,1.9177965,5.0700028,1.6518562,-0.66666667,-0.0056666667,2.6253643,2.3032766,-0.57131078,40.133333,-0.033333333,0,-0.5,4.2189176,1.2703464,-3.1119247,26.487824,-28.903948,7.5489072,7.4944302,5.7525726,5.6835798,6.6957989,6.175174,51.066667,56.1,50.133333,44.433333,3.5271184,-9.8509685,-0.36530534,-0.26489287,-1.9830801,1.104167,-0.28969176,-1.0179179,-0.28308001,-2.8931984,1.1592022,-4.1685774,-0.67499721,-5.4350801,-27.089357,0.84331156,2.4295226,-0.24136225,1.4512106,2.0425404,0.85878813,-12.140793,0.25940319,2.3786882,-0.10415118,-0.872304,-0.73731033,-1.1286671,-0.58709078,-1.4012368,0.18238559,-1.4204455,-6.9835028,-3.0643005,-4.8988965,-1.4798458,-15.302278,-101.50784,49.033333,-1.5536121,-3.6650046,-0.49125175,4.0650711,3.3201255,0.29521351,-0.27666667,-0.27,-0.31,-0.39666667,-1.0733333,-1.2033333,-1.0033333,-0.96,0.05,0.56,1.66,1.0166667,2.46,-2.6222329,-1.2981169,0.021567344,-2.1938944,-8.3481701,2.261765,-3.6861055,-21.282859,-30.375132,-39.262867,1.4558453,7.0510041,44.17953,40.986655,-0.36666667,1.91,55.763203,2.2
1986.25,1.5846856,4.2166488,13.759621,4.3534118,1.7057868,-8.9971072,-0.96645193,-10.170853,-39.650405,5.6969922,21.61005,4.2907425,16.614098,8.4006427,12.515323,4.8912059,-2.4160569,-0.30124611,-1.7746916,1.7983477,0.28453917,2.3450666,-6.0845043,-4.9165389,-3.2848084,1.7350282,-0.088222596,3.1987578,53.7,78.0895,1.4740806,-2.300657,-38.949301,1.7616995,-1.770852,-2.5288569,-0.55248628,2.5019601,2.0776921,-0.24886052,3.6430662,5.5541143,0.83529758,0,-0.024333333,1.7289163,1.8741123,-0.94126669,40.066667,-0.033333333,0.13333333,-1.78E-15,10.787854,24.196998,3.3503038,-15.603691,20.27327,7.5379627,7.5038407,5.6698809,5.6982114,6.6541525,6.2415745,51.2,56.933333,50.266667,44.6,0.6370328,-23.851016,-0.12309938,-2.6277409,-4.0259424,-0.93176095,-0.98748829,1.9703454,1.5908028,3.2097974,0.30520454,-6.0914946,-0.55594816,-0.62269864,-52.465777,-2.8380209,-1.6497244,0.52690966,-1.6026661,-4.704133,1.2160013,-10.540035,-0.28930008,-3.1434972,-2.7645134,0.95596126,1.2376663,2.0642175,0.48571423,2.9182216,-0.96058916,0.56909938,-13.341652,0.18155071,0.9153972,-0.46411929,-22.670015,-28.548373,47.866667,1.2073208,2.6975376,0.59937029,2.4166824,5.5080948,0.36633307,-0.90666667,-0.75666667,-0.76666667,-0.85,-0.75666667,-0.95333333,-0.57,-0.74333333,0.04,0.46666667,1.4633333,1.4,2.67,6.6723042,10.040542,4.5736869,2.1595013,8.1986757,-3.0013006,0.75244652,-17.931411,-23.573163,-40.119706,18.679945,-5.6134897,35.829151,39.954375,-0.30333333,1.7633333,40.844204,2.1
1986.50,3.8127777,6.8778361,34.089915,0.83379203,3.4088681,-12.76255,-2.2748123,-5.9113917,-14.518802,-1.6229168,6.1109368,9.0388041,10.965253,9.0107843,14.926434,3.8679841,1.5793442,2.4509678,2.052616,3.5718565,10.404019,1.0462261,0.046197882,0.52663703,1.7769108,3.9214835,2.4268373,0.2318821,53.933333,78.302733,2.1148524,-2.0785217,-24.777245,0.56751014,-1.9387434,-2.842501,-0.49393699,3.2024557,3.1602982,1.1591274,4.0669959,5.3052906,1.2298791,1,0.026333333,2.7898587,3.0001534,2.0155016,40.133333,0.066666667,-0.2,0.5,-14.617855,-23.194161,8.7799061,16.349496,2.2026487,7.4723112,7.456262,5.7004436,5.7093227,6.5596152,6.1136822,51,55.633333,50.1,46,2.9509861,-1.9868121,0.62383999,2.7569965,4.390107,0.38139197,0.44006482,1.25256,2.1396473,-1.0123491,3.2941112,8.9340995,2.8452404,8.1556365,50.94677,2.3302853,-0.78653522,-2.131101,-0.44586189,2.8392614,-3.4786435,-0.057591143,-0.57352471,0.14206618,0.069439882,0.61841018,0.40926481,0.013864229,-0.34795311,0.1518273,1.3003949,-0.040698487,15.208099,1.3071725,0.72821802,1.8371801,-5.436195,-25.086409,52.633333,-1.6882556,-0.41696312,-1.8836526,2.0028081,1.5874537,2.2051687,-0.71333333,-0.61666667,-0.59333333,-0.61666667,-0.47666667,-0.29666667,-0.17333333,-0.093333333,0.063333333,0.46666667,1.7833333,1.5233333,2.8733333,1.2643445,0.47455803,-0.52235576,0.90556351,4.2597141,-1.3711575,0.61922847,-16.057253,-40.29004,-34.520683,-5.7924959,0.28880868,0.9563431,-2.3960121,-0.0033333333,0.3,-0.70983507,-3.5333333
1986.75,2.0108522,2.5364542,-6.2510015,3.7880052,4.1502628,0.57987467,2.6157135,4.0467162,2.4047494,4.8611186,-0.72336542,14.640953,3.1924814,-2.2264096,-6.1386921,1.147234,4.5988851,4.2288067,4.0276206,4.9236973,8.6691963,3.5081156,1.7770321,5.0420565,5.6210232,7.3007243,5.0286272,-0.70672878,53.966667,78.9144,2.3054911,-0.1550332,-13.620942,2.5572953,-0.43465418,-1.6405181,1.4799849,3.4210295,1.7139106,-0.11333279,2.3864598,4.2112437,3.9888392,2,0.034333333,1.8942075,1.8228939,3.025297,40.033333,0.033333333,-0.13333333,-0.3,-9.2012314,1.9981637,-18.610782,-25.509203,-12.607375,7.4456122,7.4620235,5.6629605,5.7026707,6.4551986,6.1916806,50.966667,55.633333,52.033333,42.933333,4.3217913,21.355706,0.26744347,-0.15521623,0.34749106,-0.014845413,0.080758785,-1.0874718,-1.6541794,0.40376769,-2.6460007,-0.49588147,-2.2355567,-2.3685667,17.298023,-2.5719828,0.30963093,0.80365471,-4.8717233,-10.130391,-0.18914316,4.4306895,1.0545369,0.043929639,0.35871947,-0.15012385,-0.72985077,-0.85126728,0.30904242,-1.4384086,-0.45248033,5.0110254,2.0566219,1.146591,0.16338236,1.973005,16.842465,30.37693,57,-0.24304119,3.0342777,-1.3221566,-1.1915754,3.9952373,7.6353393,0.06,-0.17,-0.18,-0.19333333,-0.17333333,-0.043333333,-0.15333333,-0.086666667,0.053333333,0.44333333,1.91,1.4133333,2.83,0.43141626,-1.4702704,-1.120256,0.95418269,2.9748647,5.099899,-0.93081977,-0.77221365,-5.2519255,11.677631,-15.860404,-0.15400534,4.1824667,6.2255765,0.023333333,-0.13,11.391011,-2.9
1987.00,2.6243808,0.17563393,-26.347484,1.5782722,6.1395933,12.117502,-7.9475198,-11.077907,-9.3730411,-11.876158,-1.0506829,0.21415824,-2.5700365,1.0343614,2.4144355,-0.12402643,5.3975124,5.2357591,5.0317677,3.1394622,8.0133891,1.277505,10.109956,5.5810767,8.0807759,3.6946005,5.9373359,8.0091783,58.533333,79.584533,2.6645704,1.0667897,-5.723063,4.7214712,0.33556409,-0.049817854,0.94432466,2.8169373,1.5166316,1.8578386,1.201508,4.1885199,1.1748589,1,0.034,2.5764868,2.5670603,4.7627299,40.5,0.2,-0.23333333,-0.23333333,1.7067751,-22.604274,-12.150322,-5.4640197,-17.966224,7.4738264,7.4350446,5.6536581,5.9188939,6.4499437,6.1555656,54.166667,58.933333,51.533333,46.5,10.051252,-13.209843,0.25068377,1.6466503,2.0133181,-0.4138413,-0.60955693,1.2174206,-1.1640828,2.7039678,4.8576,6.6022027,0.91942464,4.3907927,50.889239,3.6998369,-1.3309857,-0.64822581,3.137966,10.338588,-3.2845937,-1.4968919,-1.2407762,1.0859518,-5.2176838,-1.5143654,-1.5208482,-1.9675346,-2.0524803,-1.9648077,-0.51429457,-1.7296586,5.5400318,0.60634818,1.8955821,-0.53431782,-0.29395591,79.716381,62.1,-3.4491258,-6.4729802,-2.4168396,-1.8521961,-3.991046,2.553023,-0.046666667,0.18333333,0.13666667,0.12666667,-0.013333333,-0.07,-0.31,-0.43333333,0.0066666667,0.38666667,1.6566667,1.1733333,2.4666667,-4.1258795,-5.9165117,-2.5713968,-0.91614633,-8.9522733,10.156573,-11.526089,-22.81867,-29.306913,-18.450946,30.183014,-13.810009,54.572579,62.052938,-0.39333333,2.34,61.529807,-0.4
1987.25,4.3747129,5.4314978,16.684883,3.5624476,3.7647625,0.55363331,7.0907506,9.4659969,4.7382298,11.780231,1.7478622,15.903701,9.9068319,2.7727138,5.6648914,0.30114036,6.767062,6.0111822,4.9330637,4.1694679,-1.6138613,6.3865422,8.3541235,7.6861907,8.2228193,8.3526761,6.518533,12.383634,60,80.292833,3.4344625,1.6405062,3.1460615,3.5640271,1.0126106,0.56009344,1.7254929,3.560763,3.3554281,1.8091392,3.9073592,4.4171454,1.5611299,3.6666667,0.08,3.4097017,3.2136883,2.2758429,40.333333,-0.1,-0.33333333,0.033333333,-18.440179,-40.746777,-4.6214014,4.6690542,-13.013196,7.3852309,7.3401868,5.6094718,5.6914849,6.4473059,6.020214,56.7,61.466667,54.533333,48.6,3.6114313,32.492594,-0.92215082,-1.0629001,-0.29267595,0.041663265,1.5642157,-0.31542685,4.0897498,-4.0424174,-3.8080864,-3.8772612,-0.77663294,-1.3659119,-32.43778,-1.5925041,0.48364379,0.79991004,1.8114621,-0.41293713,3.7717109,-2.4335512,3.36404,0.036355159,-2.4631521,-0.875084,-0.71862789,-0.56546435,1.5623918,-1.5762131,-1.1139015,3.5098585,-0.090324175,-1.6314804,-2.1054891,-1.2093009,23.681539,19.612929,68.6,-1.4896448,-0.22958048,-1.9148075,2.6217907,-0.33963512,0.89340232,0.43,0.12,0.43666667,0.84333333,1.21,1.15,0.8,0.69666667,0.32333333,1.11,2.6866667,0.82333333,2.0133333,-6.0070938,-5.2862689,-2.824897,-2.7913871,-10.539421,-16.287959,4.3707368,-12.538887,-14.497901,-28.526222,25.10299,-1.5776356,19.520226,29.32688,-0.053333333,0.78666667,24.690633,0.1
1987.50,3.6144367,4.4665019,16.341673,0.71773227,3.6994273,0.39033914,8.4240109,12.680806,16.315991,10.895086,-1.2116691,16.854729,7.7027359,0.70105478,0.52665764,0.85494685,7.0049906,6.4708027,6.5713153,4.8103213,0.93720651,6.2630019,10.805164,7.6558629,8.3658291,7.794992,6.8932531,6.2609682,64.066667,81.104633,3.225406,2.3036132,4.6731778,1.8617491,2.3503167,1.9974918,2.9047085,3.0041212,2.7415802,2.0910618,2.7917761,2.7517307,0.94930597,3.6666667,0.077666667,2.5194358,2.9243829,2.7827484,40.266667,0.13333333,-0.26666667,-0.6,-0.4980287,-11.027877,-41.352603,-52.050725,-31.721214,7.3932631,7.3222902,5.5784712,5.6395402,6.4892049,6.0426328,58.966667,62.933333,60.233333,47.733333,3.3098585,2.4111855,0.83901396,0.6333883,-0.28350869,0.51702153,-1.0660547,-0.070628376,-1.3555877,0.44062698,1.601846,-0.22884023,-0.74809738,-3.105185,7.6836001,-0.26814542,1.3523076,-1.5696951,1.6770449,3.8995006,-0.27123764,4.1165051,0.13253931,-0.2974272,5.5981822,0.034426666,0.22403099,0.17840036,0.55527481,-0.010898073,0.36079202,-3.8726702,-6.1937885,0.24862347,0.52093375,0.011796793,12.784034,29.702907,76.333333,-2.1354308,-3.7290447,-1.1962469,0.59952382,0.32286978,4.0686617,0.19333333,0.38666667,0.20333333,0.36,0.47333333,0.53333333,0.59,0.55,0.14,1.0833333,2.8333333,0.88,2.03,-6.4368394,-5.6919341,-0.92544594,-1.4670112,-10.612322,2.5235194,3.4764261,5.2041115,8.8385761,11.858995,-5.8987621,-3.1034768,34.095689,36.898593,-0.21,2,39.787357,2.4
1987.75,6.9243739,0.97768185,-11.713644,2.1061868,3.5516727,30.031407,-0.015552402,-0.89644516,7.5381665,-5.1680305,1.9599148,14.506741,9.0622398,5.435994,5.9560976,4.9869681,9.7015381,8.9083725,10.011249,7.045803,15.531129,3.8397421,18.79825,10.67527,17.366223,5.8124804,11.044817,9.4271126,63.4,82.910033,3.7546683,3.4504149,5.1164383,4.7848705,3.0048999,3.4993908,2.2275547,3.782713,3.3976679,3.0608034,3.4962065,1.6585491,3.4667761,1.3333333,0.035666667,2.3322308,2.3500712,4.105772,40.466667,0.16666667,-0.16666667,-0.2,-1.7062919,-6.8813421,-22.286449,-11.026732,-32.437147,7.328875,7.2558267,5.5360211,5.6466241,6.4123655,5.933129,60.166667,62.033333,63.266667,50.9,3.4503759,18.815565,-0.28166182,-0.67995315,-0.50627779,0.074753695,0.85480269,-1.5472327,-3.0719492,-0.2575545,-0.040273988,-1.1917254,-0.34630243,4.0308582,-15.059209,-1.2197011,-0.14793232,1.8945318,-3.3143815,-7.2642529,0.12177586,-4.2109718,-0.21192889,0.0093796321,0.19074776,2.1965366,2.5196365,3.5697531,1.7194815,4.4801116,0.13838555,5.2683574,2.1677485,-1.7658638,-0.9327174,-2.4722991,-2.4839743,-29.678376,79.166667,-0.31556126,-0.86603204,-0.53003715,3.6003843,1.5979273,1.2184735,0.073333333,-0.18,0.23,0.11333333,0.20333333,0.24666667,0.45666667,0.47333333,0.55,1.3766667,3.26,1.09,2.2566667,3.8236649,0.026314824,2.0578865,3.3585211,7.0109513,1.1184481,0.87782275,-22.100416,-33.622205,-32.050349,32.668303,-3.3717024,-89.44404,-95.973893,0.77333333,-4.78,-95.765058,-7.8333333
1988.00,1.9506594,6.6036166,19.753367,3.5842083,5.0975069,-23.205482,-0.5680769,3.0253573,-15.491818,12.235577,-8.7572944,21.520629,-1.7280934,-2.3371057,-10.963999,4.8910825,3.4992342,4.2520708,4.8826721,3.7852234,-2.4656186,6.1008227,6.8101664,2.5797587,3.2980192,0.84442752,2.6006978,8.3229922,58.533333,83.151167,3.0791287,0.69101626,-3.51292,-0.43968838,1.0789554,0.71091518,1.6577538,3.5963313,2.6508126,2.2954227,2.4007271,1.7959003,2.1975544,-1,0.012,1.9916276,2.0010107,0.35609512,40.366667,-0.066666667,-0.13333333,0.033333333,-17.301376,7.8908063,-12.280669,2.3224373,-26.294967,7.262161,7.2458928,5.6288194,5.4595855,6.2772699,5.9392937,56.1,58.4,60.166667,46.9,-1.2389016,30.307089,0.61537306,0.070962489,-0.60736388,0.19157747,-0.71095943,-2.4638855,-6.4367467,1.6461103,-0.26599996,-0.73639829,0.95140913,-5.2923746,-9.9022712,2.8001686,1.1873441,-0.009886065,0.57345284,2.4321204,-1.0083791,2.0371834,1.7720693,-0.24513491,2.4469912,0.10180973,0.35377672,0.46891591,2.4414243,-0.48254818,0.06598761,-2.0089637,-0.67988007,3.0569142,4.4512729,1.8827296,2.6099654,-56.654809,78.133333,-1.1663527,0.67546041,-1.1586764,1.1461892,3.512167,5.4152675,-0.25333333,-0.14,-0.38333333,-0.46,-0.72,-0.70666667,-0.65666667,-0.62666667,0.30666667,1.0566667,2.6933333,1.14,2.3366667,-1.4491995,3.2844086,2.4342454,-1.7795615,-2.0526552,-1.0847987,-1.5755664,-12.494856,-7.9124936,-23.26019,9.4503518,-13.546947,4.2659087,5.3834979,0.026666667,-1.2566667,-6.2612066,6.0666667
1988.25,5.0545053,2.8532882,0.16303873,4.1312841,2.7714826,9.6159995,7.7736739,9.740972,8.2609,10.433997,3.172001,10.916549,-4.6916658,0.90491818,-4.0739338,4.9398502,3.5255114,2.617831,3.6169338,2.1031766,12.319771,-1.6857067,10.715745,4.6389841,7.4176837,2.2357797,4.4238047,-2.9214058,59.6,83.9031,3.5344208,2.607221,-1.9908712,6.6469306,1.680063,2.2956988,0.7111113,3.4524555,3.8157842,4.276524,4.0372924,1.1722675,1.8882203,0.33333333,0.049666667,1.8526621,2.0987162,5.6787532,40.433333,0.13333333,-0.23333333,-0.7,5.106084,-29.953522,-36.656406,-51.147383,-22.745962,7.3069787,7.2811562,5.4652432,5.6698809,6.3676153,5.9445476,56.866667,59.633333,60.366667,50.133333,6.423721,-12.96897,0.58940881,0.95346593,1.453082,0.64284394,0.94190175,3.0537237,5.8566749,1.0973357,-0.504673,2.3421633,0.88163822,7.7073494,7.6176272,-0.65768803,-0.41529935,-1.7951289,4.5060629,2.3499009,6.3675646,0.60697487,0.93566488,0.77960436,-3.2419185,-0.69900456,-1.1804482,-1.6758319,-2.3868956,-1.3157352,-0.020919368,3.5630084,1.5791569,-0.35940376,-1.6563091,0.70631833,11.880797,6.3735994,81.066667,-0.37595321,-1.1820525,-0.6572006,0.67913591,0.24821596,3.1405599,0.49333333,0.48666667,0.46333333,0.52,0.51333333,0.49333333,0.25333333,0.22666667,0.28333333,1.09,2.7,0.9,2.07,4.5441185,2.0818777,0.69148666,0.60341581,5.5717746,4.8626806,2.2374764,-3.6672662,12.582175,-7.1579696,9.7031305,-12.033311,7.7134898,10.215122,0.083333333,-0.98333333,10.42375,2.4666667
1988.50,2.1260689,3.3240038,-5.2111639,4.2907754,4.859518,2.5660055,1.5322038,2.075561,-5.4348026,5.7007564,0.24377642,7.348515,9.2239031,-0.53121176,-2.9888059,1.4220676,2.0828522,1.4281163,1.3455658,0.58493183,-2.830626,1.8268699,3.4121089,2.8810354,3.4151857,2.1367793,1.3803579,-3.0228009,57.933333,84.041233,3.0061403,0.59626233,-4.8934447,2.3347357,0.36494654,1.2643235,-1.057515,3.4343269,3.3031742,3.4545164,3.4346033,0.88207426,1.704721,-0.33333333,-0.010666667,2.1219163,2.3149683,1.0911451,40.366667,-0.13333333,0,0.13333333,0.81610767,2.0321805,5.6964314,21.349784,-9.3735019,7.3024964,7.2758646,5.4538956,5.5822424,6.358997,6.0088132,56.266667,59.466667,57,51.133333,-0.072111371,39.751126,0.75059961,0.34569663,0.28482439,-0.48348851,-0.37931625,0.6007465,3.3266589,-2.068765,-0.98929515,0.82771766,2.806951,-7.1625746,6.2088354,0.10615759,-0.0058114931,0.49441199,-2.0679026,2.5613482,-6.08731,2.8740868,-0.53885536,-1.283716,0.28047758,-0.89493965,-0.57339913,-0.33877599,-0.026664245,-0.49210052,-1.1099861,-3.3352316,-11.4705,-1.4245778,-2.5080695,-0.56518525,7.8103653,-54.71992,77.333333,-1.7591873,-0.91778725,-2.2329724,1.0667606,0.24806202,3.3717387,0.82666667,0.8,0.77666667,0.70333333,0.34333333,0.19,0.15333333,0.093333333,0.26,0.99333333,2.09,0.86333333,1.9733333,-2.1895307,-4.4907291,-3.8461596,-0.092070421,-0.90913922,-2.4795007,-2.0941052,21.824832,39.179507,24.626481,-33.111892,-3.5165779,5.6986245,2.37123,0.046666667,-1.08,6.8314028,1.7333333
1988.75,5.246185,4.6661123,11.044384,4.5094106,3.1918292,5.2820787,3.9670247,4.1623142,-1.0107456,6.6075686,3.4919057,12.082151,11.861154,7.6836967,11.802025,4.4207424,2.895115,3.3656315,3.8528806,3.5226054,15.117908,-0.86765978,5.9292596,2.3254142,6.8542827,2.7350027,4.4145812,0.52484107,57.933333,84.732667,3.1518291,1.3175371,-7.5841979,0.10120177,1.9531253,2.3478223,1.3262548,3.7897284,1.8667704,3.0137524,0.76579573,1.1254068,3.6286914,0.66666667,0.032333333,2.4731169,2.1609173,4.4137288,40.433333,0.1,-0.13333333,-0.56666667,-6.3579216,-4.4845043,-24.790867,-16.120952,-33.6566,7.3468701,7.3187606,5.3262567,5.6892327,6.4002574,6.1047932,55.7,58.2,53.3,50.233333,8.7226772,-10.055546,-1.4784279,-0.86092502,-0.50112587,-0.077433328,0.3763399,-0.075402551,-2.1004094,0.78763099,3.3581517,-1.8273505,-3.2016327,5.0054934,-10.749015,-0.26161043,-0.49499076,-0.033580365,1.6674386,1.3817143,1.9178724,-3.4605321,-0.32228008,3.4203378,-2.4109271,2.6350531,2.0345913,2.3686752,0.35065024,3.3496797,1.2513061,-5.7896755,7.6967205,-0.0048911305,0.60224206,-0.48532039,-8.2250559,-37.201924,70.733333,-0.17513936,-1.5605844,0.19500394,0.87663382,-1.2957522,0.11454628,0.48666667,0.71666667,0.59,0.52333333,0.033333333,-0.14333333,-0.45333333,-0.56,0.13333333,0.8,1.23,0.55333333,1.5566667,-4.0889368,-1.6303659,-0.31754887,-1.8766463,-4.5596308,-2.3803837,-2.4523657,-16.973291,-18.279881,-26.401546,21.996803,-4.1329268,11.903739,12.212595,-0.033333333,-1.2,9.9065051,-0.6
1989.00,4.0389978,1.4870881,-2.4785461,1.1893159,2.6176526,15.027849,3.9728228,6.7205421,6.42228,6.8836685,-2.6187104,11.312961,-1.1233668,-2.5165022,-8.2788413,2.0363944,1.5603783,2.0723241,1.8708655,1.7678945,8.6718248,-0.94178715,3.4794467,0.93571122,-0.27283779,2.6503729,1.8030115,-0.78621048,55.4,84.742467,3.2209843,0.97008716,-3.41299,0.37927877,1.3164962,1.2409462,1.4366111,3.5957033,3.2013335,4.6161638,3.0783188,0.8572744,1.9219256,-1.3333333,0.008,3.0517884,3.0764715,3.9140021,40.433333,0.066666667,-0.13333333,-0.53333333,8.9242264,-8.0755051,-35.416443,-38.124072,-32.605751,7.3060839,7.2110646,5.3690864,5.6548256,6.3716118,6.0014149,53.433333,55.533333,53.466667,48,-0.091394328,8.0062021,0.97632776,0.8286227,0.17252483,0.26010048,-0.58192064,-0.39881292,1.8226383,-1.2560346,-4.320953,1.7712076,1.8326449,-6.2991302,16.059543,2.0172705,0.57971094,-0.090103891,-2.7532915,-5.1568324,-0.70009726,2.4774568,0.91937772,-1.760704,2.6877666,-1.9324876,-1.905793,-2.3473143,-0.87024027,-3.0589946,-0.86318799,4.8217844,2.9731647,3.1329588,5.6692559,1.1160724,8.9449868,85.766578,68.766667,-1.6534615,0.099988387,-1.7190513,0.67035231,-2.604165,2.8486741,0.97333333,0.81333333,0.72666667,0.76333333,0.51333333,0.25,0.17666667,0.13,0.046666667,0.75,0.66666667,0.48,1.4366667,-1.5134759,-2.4426168,-1.3038887,-1.3720387,-3.0202046,2.8413618,12.049298,7.726476,22.736987,10.679353,-9.9952438,-4.9471872,22.257628,23.570132,-0.026666667,0.44666667,26.051261,2.5
1989.25,2.6137967,1.8815366,5.6862129,0.38133861,1.8666415,-4.6759024,0.55157001,5.6551764,-4.5633477,10.414491,-12.036511,17.08363,5.9383664,6.1407955,8.8946005,3.9703246,-1.7029014,-1.6122486,-1.5809534,-2.7990942,-10.355338,0.18313482,-0.29873432,-1.8153178,-5.6845639,-0.79866204,-3.1613755,-7.6359711,51.7,83.5815,1.9216955,-0.027684152,-0.62552034,1.6393982,-0.47284823,-1.144424,0.59229549,2.4243901,2.4716743,0.85789835,3.4074711,0.91647401,1.6443089,-3,-0.045,1.2624633,1.7240447,1.593736,40.333333,-0.16666667,0.033333333,-0.56666667,3.5231299,17.328767,-8.9957348,-3.6355189,-14.597971,7.2120486,7.2149949,5.2185524,5.5147719,6.2722479,5.9738096,49.6,49.8,49.266667,46.6,-5.3732734,-3.5533305,-0.28774504,0.46087163,1.8954756,-1.1937587,0.059798863,-1.7849565,-2.7511764,-1.5026235,0.1690003,4.0694165,0.8766963,2.6017777,37.568892,-2.0088957,-1.1571176,0.29675157,1.4735769,2.450869,0.65944902,-4.0015235,-1.2603811,-1.2140526,-3.3213,0.23507616,0.4355944,-0.16252824,1.3052599,-0.82890768,1.9517845,-3.521378,-2.0394535,-2.5629858,-5.497577,-0.2438766,-7.0924552,51.934953,58.233333,-2.7394354,-1.5464374,-3.4907781,1.3330089,-5.0230073,0.091837906,0.28333333,-0.13,-0.25666667,-0.36333333,-0.47666667,-0.43333333,-0.2,-0.27666667,-0.08,0.51666667,0.36333333,0.71333333,1.5933333,-3.8313063,-0.38782821,0.5445533,-1.4030411,-6.3052882,-0.360124,-8.2513485,16.727484,27.50557,28.258342,-33.017602,0.45837589,29.934213,27.642362,-0.12,0.083333333,26.170055,-7
1989.50,2.8432677,3.7883822,8.9375359,3.9796008,2.4187784,-4.7236673,6.9190675,11.328644,13.827898,10.180543,-4.3821648,4.6083261,0.47329537,3.7070769,3.7775596,3.6529433,-2.4052728,-2.266456,-2.6418403,-6.0354921,-9.5794181,-4.6525251,2.9258623,-2.577346,-3.9818389,-3.9560252,-2.8972357,2.2846512,47.2,82.411767,0.76817074,-0.92020329,-0.14138201,1.9584497,-1.7930272,-2.9058456,-0.038186158,1.5531903,1.2950832,-0.28996563,1.4318396,1.0564281,2.1794771,-3.6666667,-0.052,0.98509484,0.57459025,0.89901611,40.366667,-0.033333333,0,-0.3,0.50681033,-0.73511006,5.1093792,42.969879,-39.347938,7.2048925,7.1780368,5.1219779,5.5529596,6.2703581,5.9704111,45.666667,45.666667,44.666667,44.833333,-7.1248974,-19.283231,-0.96358378,-2.6398947,-3.2986882,-0.28193308,-0.45691229,0.72092275,-2.5215825,4.2069845,1.945937,-8.4556562,-2.1431791,-6.5226446,-66.990438,0.79947705,0.0046229657,0.41577321,-0.21137861,0.61253189,-0.88495364,-2.473073,0.24370056,1.3848244,-0.28491924,-0.62064981,-0.78089998,0.31362499,-1.6278081,1.2253656,-3.4793402,-2.9040159,-11.25185,-0.39334274,1.176595,-1.6174643,-11.265687,-19.472341,44.6,0.96469056,0.33731764,0.68154218,1.4408973,0.27883987,1.3053146,-0.64333333,-0.56666667,-0.63333333,-0.83,-0.80333333,-0.66666667,-0.52,-0.48,-0.14666667,0.25333333,0.26333333,0.86,1.78,6.0394736,11.30655,4.89627,1.1766789,11.002126,-0.13634474,-2.9289103,1.4276716,-8.7240906,12.464439,-2.6865555,-3.6141443,35.00301,33.206373,-0.2,0.72,34.456436,3.0333333
